item,product_number,multiplier,items_per_order,price
Breeza,122974,1,1,91
Oral Omni 9mg,232842,1,1,100
Oral Omni 12mg,232843A,1,1,104
Readicat Berry,92423,1,1,56
Readicat Banananana,78956,1,1,56
Readicat Vanilla,119373,1,1,56
Readicat Mocha,119372,1,1,56
Cysto Tubing ,217077,1,1,2.55
Omnipaque 240mg 50ml ,174864,1,1,91
Omnipaque 350mg 100ml ,162069,1,1,168
Omnipaque 300mg 100ml ,1686,1,1,161
Visipaque ,97619,1,1,351
50ml Saline (84),23080,84,1,1.75
100ml Saline (64),23081,64,1,1.75
150ml Saline,23074,1,1,
250ml Saline,23075,1,1,1.75
500ml Saline,23077,1,1,2
Sterile Saline Flush Syringe,109030,1,1,0.9
Saline Flush 10 ml Syringe,64305,16,1,7.85
Lifepak paper,104257,1,1,14
Odor eliminator Lemon,222420,1,1,102
Odor eliminator,222421,1,1,102
Adultpads,99239,1,1,18
Nasal Cannula ,250,1,1,0.5
Ped O2 Mask,21409,1,1,60
Adult O2 Mask,24070,1,1,0.68
Green O2 adapter,24280,1,1,0.25
Infant O2 cannula ,60380,1,1,49
Non-rebreather Peds,21394,1,1,1.2
Non-rebreather Adults,81013,1,1,51
O2 christmas tree,1257,1,1,0.3
O2 extension tubing ,245068,1,1,0.4
O2 sensor peds,96212,1,1,315
Suction Canister ,40272,1,1,1.15
Suction Tubing 20ft ,251418,1,1,14
Yankauer,20756,1,1,0.3
Ambu Bags,20744,1,1,6.5
Peds ambu bags ,22945,1,1,6.5
Infant ambu bags,185900,1,1,160
orange top specimen cont.,7003,1,1,322
Orange Swab Tops ,219491,1,1,48
E-swab,118901,1,1,0.65
Specimen Bags Small,37433,1,1,22
Specimen Bags Medium,20471,1,1,1.9
Specimen Bags Large,36611,1,1,2.9
Specimen Bags Xtra Large,37439,1,1,49
Telfa,24031,1,1,4.9
3-Way Stopcock ,3429,1,1,0.35
Embocube green 2.5x100,224688,1,1,304
Embocube green 2.5x50,228790,1,1,304
Torpedo 2.5x10,224689,1,1,330
Torpedo 5x10,224690,1,1,330
Surgifoam,24017,1,1,4.2
Red Medallion syringe ,64921,1,1,49
Xeroform,20497,1,1,36
5fr Dilator,16976,1,1,8
6fr Dilator,20942,1,1,8
7fr Dilator,39637,1,1,8
8fr Dilator,12344,1,1,8
9fr Dilator,16484,1,1,8
10 Dilator,16815,1,1,8
12 Dilator,16817,1,1,8
14fr Dilator,16825,1,1,8
16fr Dilator,62843,1,1,8
APD 6fr,233716,1,1,3
APD 8fr,233714,1,1,375
APD 10fr,233715,1,1,375
APD 12fr,233719,1,1,375
APD 14fr,233720,1,1,375
APD 16fr,233904,1,1,375
Biopatch,160784,1,1,56
Guide Wire J 150cm,208092,1,1,120
Peds J wire ,118013,1,1,13
Amplatz superstiff .038x180cm,2198,1,1,175
Amplatz superstiff .038x145cm,26285,1,1,175
Amplatz superstiff .038x75cm,63206,1,1,175
1liter Evac Bottle ,22992,1,1,10
Drain Bulb w/tubing ,117413,1,1,123
Drain connection,206088,1,1,2
16fr Foley,20742,1,1,20
18fr Foley,20741,1,1,14
U/S paracentesis tray,160935,1,1,466
Para Kits 5/ box ,95541,1,1,270
5fr Para Cath ,63907,1,1,87
Para Spikes ,85920,1,1,65
Spikes Para Bottles,206088,1,1,1.8
Para Bottles 500ml ,22991,1,1,10
Pleura Vac ,21148,1,1,61
Lung Plug Tract Sealant,204489,1,1,1654
Franseen 18gx15cm,213802,1,1,80
Franseen 18gx20cm,213803,1,1,80
Franseen 20gx15cm,213804,1,1,80
Franseen 20gx20cm,252038,1,1,80
Franseen 22gx15cm,213805,1,1,80
Probe Covers U/S,150059,1,1,57
